,Word,Count,Length,Frequency
0,the,935,3,Frequent
1,tragedie,3,8,Infrequent
2,of,576,2,Frequent
3,hamlet,97,6,Frequent
4,,45513,0,Frequent
5,actus,2,5,Infrequent
6,primus,1,6,Unique
7,scoena,1,6,Unique
8,prima,1,5,Unique
9,enter,80,5,Frequent
10,barnardo,8,8,Infrequent
11,and,823,3,Frequent
12,francisco,1,9,Unique
13,two,20,3,Frequent
14,centinels,1,9,Unique
15,whos,2,4,Infrequent
16,there,70,5,Frequent
17,fran,8,4,Infrequent
18,nay,26,3,Frequent
19,answer,9,6,Infrequent
20,me,219,2,Frequent
21,stand,15,5,Frequent
22,vnfold,3,6,Infrequent
23,your,235,4,Frequent
24,selfe,58,5,Frequent
25,bar,7,3,Infrequent
26,long,17,4,Frequent
27,liue,14,4,Frequent
28,king,166,4,Frequent
29,he,187,2,Frequent
30,you,497,3,Frequent
31,come,101,4,Frequent
32,most,73,4,Frequent
33,carefully,1,9,Unique
34,vpon,49,4,Frequent
35,houre,4,5,Infrequent
36,tis,66,3,Frequent
37,now,89,3,Frequent
38,strook,1,6,Unique
39,twelue,5,6,Infrequent
40,get,8,3,Infrequent
41,thee,56,4,Frequent
42,to,648,2,Frequent
43,bed,10,3,Infrequent
44,f,9,1,Infrequent
45,for,223,3,Frequent
46,this,265,4,Frequent
47,releefe,1,7,Unique
48,much,41,4,Frequent
49,thankes,8,7,Infrequent
50,bitt,1,4,Unique
51,i,534,1,Frequent
52,am,49,2,Frequent
53,sicke,3,5,Infrequent
54,at,76,2,Frequent
55,heart,27,5,Frequent
56,barn,10,4,Infrequent
57,haue,167,4,Frequent
58,had,42,3,Frequent
59,quiet,5,5,Infrequent
60,guard,3,5,Infrequent
61,not,284,3,Frequent
62,a,470,1,Frequent
63,mouse,2,5,Infrequent
64,stirring,1,8,Unique
65,well,68,4,Frequent
66,goodnight,9,9,Infrequent
67,if,103,2,Frequent
68,do,95,2,Frequent
69,meet,4,4,Infrequent
70,horatio,36,7,Frequent
71,andmarcellus,1,12,Unique
72,riuals,1,6,Unique
73,my,493,2,Frequent
74,watch,14,5,Frequent
75,bid,6,3,Infrequent
76,them,58,4,Frequent
77,make,50,4,Frequent
78,marcellus,9,9,Infrequent
79,thinke,42,6,Frequent
80,heare,29,5,Frequent
81,hor,95,3,Frequent
82,friends,19,7,Frequent
83,ground,7,6,Infrequent
84,mar,31,3,Frequent
85,leigemen,1,8,Unique
86,dane,5,4,Infrequent
87,giue,56,4,Frequent
88,good,95,4,Frequent
89,night,32,5,Frequent
90,o,43,1,Frequent
91,farwel,1,6,Unique
92,honest,9,6,Infrequent
93,soldier,2,7,Infrequent
94,who,40,3,Frequent
95,hath,53,4,Frequent
96,relieu,1,6,Unique
97,fra,1,3,Unique
98,has,16,3,Frequent
99,place,6,5,Infrequent
100,exit,18,4,Frequent
101,holla,1,5,Unique
102,say,50,3,Frequent
103,what,194,4,Frequent
104,is,298,2,Frequent
105,peece,6,5,Infrequent
106,him,166,3,Frequent
107,welcome,14,7,Frequent
108,thing,23,5,Frequent
109,appeard,3,7,Infrequent
110,againe,31,6,Frequent
111,n,2,1,Infrequent
112,seene,19,5,Frequent
113,nothing,24,7,Frequent
114,saies,2,5,Infrequent
115,but,237,3,Frequent
116,our,125,3,Frequent
117,fantasie,2,8,Infrequent
118,will,142,4,Frequent
119,let,91,3,Frequent
120,beleefe,1,7,Unique
121,take,32,4,Frequent
122,hold,22,4,Frequent
123,touching,3,8,Infrequent
124,dreaded,1,7,Unique
125,sight,8,5,Infrequent
126,twice,4,5,Infrequent
127,vs,60,2,Frequent
128,therefore,14,9,Frequent
129,intreated,1,9,Unique
130,along,3,5,Infrequent
131,with,237,4,Frequent
132,minutes,1,7,Unique
133,that,335,4,Frequent
134,apparition,2,10,Infrequent
135,may,63,3,Frequent
136,approue,1,7,Unique
137,eyes,20,4,Frequent
138,speake,49,6,Frequent
139,it,386,2,Frequent
140,tush,2,4,Infrequent
141,twill,5,5,Infrequent
